frozen_layers,roc_auc
(),0.619405864197531
"(0,)",0.6454475308641975
"(1,)",0.6357060185185185
"(2,)",0.6265432098765431
"(3,)",0.622974537037037
"(4,)",0.6184413580246914
"(0, 1)",0.6555748456790123
"(0, 2)",0.6253858024691358
"(0, 3)",0.6244212962962963
"(0, 4)",0.6440007716049383
"(1, 2)",0.6445794753086419
"(1, 3)",0.6331983024691359
"(1, 4)",0.6495949074074073
"(2, 3)",0.6313657407407408
"(2, 4)",0.6638695987654322
"(3, 4)",0.644483024691358
"(0, 1, 2)",0.6513310185185185
"(0, 1, 3)",0.6279899691358025
"(0, 1, 4)",0.6537422839506173
"(0, 2, 3)",0.6554783950617284
"(0, 2, 4)",0.6762152777777778
"(0, 3, 4)",0.6459297839506174
"(1, 2, 3)",0.675925925925926
"(1, 2, 4)",0.6280864197530864
"(1, 3, 4)",0.6188271604938271
"(2, 3, 4)",0.6519097222222222
"(0, 1, 2, 3)",0.6325231481481481
"(0, 1, 2, 4)",0.6339699074074073
"(0, 1, 3, 4)",0.6324266975308642
"(0, 2, 3, 4)",0.6571180555555556
"(1, 2, 3, 4)",0.6296296296296295
"(0, 1, 2, 3, 4)",0.603684413580247
